percentile,cutoff,no_of_fraud,fraud_money_value,total_amount,percent_fraud,u_2fa
0.75,0.08872718940129148,3275,483896.8480000009,16243432.18199058,0.8058562992125984,26252
0.76,0.09020127414539118,3248,478538.6660000007,16243432.18199058,0.7992125984251969,25106
0.77,0.09193279913695838,3220,472002.4630000006,16243432.18199058,0.7923228346456693,23947
0.78,0.09361477715438166,3191,466511.19200000056,16243432.18199058,0.7851870078740157,22793
0.79,0.09556953538351998,3163,462890.38600000046,16243432.18199058,0.7782972440944882,21643
0.8,0.09769109929654339,3135,458110.36000000045,16243432.18199058,0.7714074803149606,20487
0.81,0.09998282563958756,3108,451997.9120000004,16243432.18199058,0.764763779527559,19333
0.82,0.10255879825171736,3075,447242.2800000006,16243432.18199058,0.7566437007874016,18185
0.83,0.1052927737033382,3037,437064.5930000003,16243432.18199058,0.7472933070866141,17042
0.84,0.1083311259281003,2987,425242.44100000017,16243432.18199058,0.7349901574803149,15911
0.85,0.11191889505157615,2949,421411.80700000026,16243432.18199058,0.7256397637795275,14768
0.86,0.11578661493196045,2879,409041.45899999957,16243432.18199058,0.7084153543307087,13657
0.87,0.12015972175546831,2823,400005.58899999945,16243432.18199058,0.6946358267716536,12531
0.88,0.12499768731880735,2766,389770.22599999915,16243432.18199058,0.6806102362204725,11407
0.89,0.13003395875278756,2695,378156.1049999991,16243432.18199058,0.6631397637795275,10297
0.9,0.13602994500756957,2635,365894.11899999855,16243432.18199058,0.6483759842519685,9176
0.91,0.1428376873930913,2549,351516.93899999803,16243432.18199058,0.6272145669291339,8081
0.92,0.15102943458069834,2457,336038.3639999984,16243432.18199058,0.6045767716535433,6992
0.93,0.16099175881974057,2350,317797.1169999984,16243432.18199058,0.578248031496063,5918
0.94,0.17492436289441038,2211,292754.1649999985,16243432.18199058,0.5440452755905512,4877
0.95,0.19679803865860504,2039,259005.86699999872,16243432.18199058,0.5017224409448819,3867
0.96,0.2394160555600573,1822,213608.12299999883,16243432.18199058,0.4483267716535433,2910
0.97,0.29807439851223616,1635,175221.25499999942,16243432.18199058,0.40231299212598426,1969
0.98,0.3368695980600701,1530,153291.52300000002,16243432.18199058,0.3764763779527559,833
0.99,0.6152373008178069,1010,88204.8160000004,16243432.18199058,0.2485236220472441,172
